rank,index_code,name,type_label,hit_count,sector_size,coverage_pct,turnover_yi,turnover_share_pct,baseline_hit_count,hit_change,today_pct,recent_pct,amplitude,related_sectors,hit_stocks,representatives
1,886033.TI,共封装光学(CPO),概念,30,203,14.78,3528.35,40.78,31.75,-1.75,-6.64,-18.57,31.07,5G,中际旭创、新易盛、东山精密、紫光股份、长电科技、京东方A、亨通光电、通富微电、源杰科技、生益科技、天孚通信、胜宏科技、中天科技、德明利、长飞光纤、工业富联、光迅科技、三环集团、立讯精密、华天科技、协创数据、华工科技、长光华芯、星网锐捷、深科技、国瓷材料、永鼎股份、景旺电子、德福科技、罗博特科,中际旭创(-9.39%)、新易盛(-0.49%)、东山精密(-8.01%)、紫光股份(-1.85%)、长电科技(-22.27%)
2,881121.TI,半导体,行业,29,181,16.02,2844.31,32.87,30.5,-1.5,-6.39,-24.59,38.29,存储芯片、半导体产品与设备Ⅱ(A股)、半导体产品与设备Ⅲ(A股)、半导体产品(A股)、汽车芯片,兆易创新、寒武纪、长电科技、澜起科技、通富微电、中芯国际、中微公司、源杰科技、北方华创、海光信息、佰维存储、华虹宏力、长川科技、德明利、华天科技、江波龙、拓荆科技、北京君正、瑞芯微、长光华芯、芯原股份、盛科通信、普冉股份、江丰电子、中科飞测、华海清科、豪威集团、东芯股份、沪硅产业,兆易创新(-21.51%)、寒武纪(-13.02%)、长电科技(-22.27%)、澜起科技(-24.86%)、通富微电(-14.37%)
3,885756.TI,芯片概念,概念,64,907,7.06,6291.08,72.71,65.25,-1.25,-5.29,-16.46,24.13,信息技术(A股)、技术硬件与设备(A股)、电子设备、仪器和元件(A股)、电子设备和仪器(A股),中际旭创、新易盛、兆易创新、东山精密、寒武纪、紫光股份、长电科技、京东方A、澜起科技、亨通光电、通富微电、中芯国际、中微公司、源杰科技、北方华创、生益科技、海光信息、佰维存储、中兴通讯、华虹宏力、胜宏科技、沪电股份、长川科技、中天科技、中科曙光、德明利、长飞光纤、工业富联、光迅科技、立讯精密、华天科技、江波龙、香农芯创、协创数据、华工科技、拓荆科技、北京君正、瑞芯微、长光华芯、芯原股份、盛科通信、深科技、大族激光、信维通信、国瓷材料、永鼎股份、普冉股份、深南电路、江丰电子、中科飞测、美的集团、华海清科、麦格米特、豪威集团、利通电子、TCL科技、比亚迪、罗博特科、精智达、东芯股份、中船特气、多氟多、沪硅产业、昆仑万维,中际旭创(-9.39%)、新易盛(-0.49%)、兆易创新(-21.51%)、东山精密(-8.01%)、寒武纪(-13.02%)
4,884287.TI,数字芯片设计,行业,14,53,26.42,1441.24,16.66,12.25,1.75,-3.79,-21.55,32.79,,兆易创新、寒武纪、澜起科技、海光信息、佰维存储、德明利、江波龙、北京君正、瑞芯微、芯原股份、盛科通信、普冉股份、豪威集团、东芯股份,兆易创新(-21.51%)、寒武纪(-13.02%)、澜起科技(-24.86%)、海光信息(-7.21%)、佰维存储(-28.13%)
5,885887.TI,数据中心,概念,38,646,5.88,4221.87,48.8,38.0,0.0,-2.84,-9.62,15.31,,中际旭创、新易盛、东山精密、寒武纪、紫光股份、长电科技、澜起科技、浪潮信息、亨通光电、源杰科技、天孚通信、佰维存储、中兴通讯、胜宏科技、沪电股份、中天科技、中科曙光、德明利、长飞光纤、工业富联、光迅科技、三环集团、立讯精密、江波龙、香农芯创、协创数据、阳光电源、长光华芯、星网锐捷、盛科通信、信维通信、永鼎股份、深南电路、美的集团、三花智控、麦格米特、比亚迪、罗博特科,中际旭创(-9.39%)、新易盛(-0.49%)、东山精密(-8.01%)、寒武纪(-13.02%)、紫光股份(-1.85%)
6,886009.TI,先进封装,概念,21,200,10.5,1985.12,22.94,25.75,-4.75,-7.23,-22.24,34.81,,寒武纪、长电科技、京东方A、通富微电、中微公司、北方华创、生益科技、天孚通信、佰维存储、光迅科技、华天科技、江波龙、华工科技、拓荆科技、芯原股份、深科技、大族激光、深南电路、蓝思科技、中科飞测、华海清科,寒武纪(-13.02%)、长电科技(-22.27%)、京东方A(-15.23%)、通富微电(-14.37%)、中微公司(-16.18%)
7,886084.TI,光纤概念,概念,15,111,13.51,1484.82,17.16,15.25,-0.25,-5.78,-16.22,26.71,,东山精密、京东方A、亨通光电、源杰科技、天孚通信、中兴通讯、中天科技、长飞光纤、光迅科技、三环集团、长光华芯、大族激光、永鼎股份、蓝思科技、罗博特科,东山精密(-8.01%)、京东方A(-15.23%)、亨通光电(-19.21%)、源杰科技(-11.75%)、天孚通信(-17.65%)
8,885897.TI,中芯国际概念,概念,13,89,14.61,1079.65,12.48,13.25,-0.25,-7.16,-22.9,35.4,,长电科技、澜起科技、中芯国际、中微公司、北方华创、德明利、江丰电子、中科飞测、华海清科、豪威集团、中船特气、多氟多、沪硅产业,长电科技(-22.27%)、澜起科技(-24.86%)、中芯国际(-11.97%)、中微公司(-16.18%)、北方华创(-11.43%)
9,885545.TI,汽车电子,概念,24,389,6.17,2611.3,30.18,25.75,-1.75,-4.86,-13.79,20.71,,中际旭创、兆易创新、长电科技、通富微电、中芯国际、生益科技、中兴通讯、胜宏科技、沪电股份、中天科技、德明利、立讯精密、华天科技、协创数据、华工科技、北京君正、深科技、国际复材、信维通信、普冉股份、深南电路、景旺电子、蓝思科技、豪威集团,中际旭创(-9.39%)、兆易创新(-21.51%)、长电科技(-22.27%)、通富微电(-14.37%)、中芯国际(-11.97%)
10,886048.TI,英伟达概念,概念,11,77,14.29,925.99,10.7,8.25,2.75,-2.56,-11.73,18.05,,紫光股份、浪潮信息、天孚通信、胜宏科技、工业富联、协创数据、景旺电子、麦格米特、豪威集团、利通电子、罗博特科,紫光股份(-1.85%)、浪潮信息(-4.91%)、天孚通信(-17.65%)、胜宏科技(-17.91%)、工业富联(-10.43%)
